Data,Price In Shkel,BTC amount,total 
19:18:53 20/12/17,63150,0.02184072,1379.2414680000002
19:18:55 20/12/17,63150,0.12673811,8003.511646499999
19:36:41 20/12/17,65486,0.01,654.86
19:36:42 20/12/17,65487,0.12848073,8413.817565509999
19:36:44 20/12/17,65488,0.145,9495.76
19:36:45 20/12/17,65496,0.0900037,5894.8823352
19:45:17 20/12/17,65495,0.03,1964.85
19:45:18 20/12/17,65496,0.03,1964.8799999999999
19:45:20 20/12/17,65527,0.03609426,2365.1485750200004
19:45:33 20/12/17,65558,0.03,1966.74
19:45:34 20/12/17,65559.99,0.12276161,8048.2499239839
19:53:27 20/12/17,64400,0.1,6440
19:54:16 20/12/17,64300,0.01021709,656.958887
19:56:34 20/12/17,64300,0.02153191,1384.501813
19:56:46 20/12/17,64300,0.02153191,1384.501813
19:56:55 20/12/17,64300,0.02153191,1384.501813
19:57:01 20/12/17,64300,0.02153191,1384.501813
19:57:10 20/12/17,64300,0.02153191,1384.501813
19:57:42 20/12/17,64300.04,0.01560921,1003.6728273684
19:58:52 20/12/17,65557,0.002,131.114
19:58:53 20/12/17,65558,0.03,1966.74
19:58:55 20/12/17,65559.99,0.03799994,2491.2756864006005
20:06:18 20/12/17,64501,0.002,129.002
20:06:45 20/12/17,64501,0.07793049,5026.59453549
20:06:53 20/12/17,64501,0.02146481,1384.50170981
20:07:36 20/12/17,64501,0.02146481,1384.50170981
20:07:45 20/12/17,64501,0.00559628,360.96565628
20:16:27 20/12/17,64505,0.02146348,1384.5017774
20:17:47 20/12/17,64505,0.02146348,1384.5017774
20:18:00 20/12/17,64505,0.02141036,1381.0752717999999
20:20:57 20/12/17,64506,0.16336387,10537.94979822
20:20:58 20/12/17,64501,0.09623096,6206.99315096
20:31:57 20/12/17,65398,0.07753677,5070.74968446
20:35:27 20/12/17,64550.04,0.00667275,430.72627941
20:37:17 20/12/17,64550,0.08542091,5513.9197405
20:39:45 20/12/17,64550.04,0.058,3743.90232
20:39:46 20/12/17,63200.01,0.12670907,8008.014491090701
