Data,Price In Shkel,BTC amount,total 
12:08:42 20/12/17,66500,0.1052633,7000.0094500000005
12:12:13 20/12/17,66500,0.04748662,3157.8602300000002
12:15:57 20/12/17,66500,0.12030075,7999.9998749999995
12:17:16 20/12/17,66500,0.0074812,497.49980000000005
12:17:17 20/12/17,66500,0.03007518,1999.99947
12:18:54 20/12/17,66500,0.02074047,1379.2412550000001
12:19:20 20/12/17,66500,0.00034399,22.875335
12:19:24 20/12/17,66500,0.07518796,4999.99934
12:23:30 20/12/17,66450,0.001,66.45
12:23:44 20/12/17,66500,0.03463877,2303.478205
12:33:17 20/12/17,66500,0.0907,6031.55
12:35:50 20/12/17,66500,0.01186634,789.1116099999999
12:35:57 20/12/17,66500,0.02074047,1379.2412550000001
12:36:03 20/12/17,66500,0.02074047,1379.2412550000001
12:36:10 20/12/17,66500,0.02074047,1379.2412550000001
12:36:17 20/12/17,66500,0.02074047,1379.2412550000001
12:36:26 20/12/17,66500,0.00846586,562.97969
12:36:49 20/12/17,66500,0.01689588,1123.57602
12:37:41 20/12/17,66500,0.14326835,9527.345275
12:42:17 20/12/17,66500,0.03007519,2000.000135
12:42:44 20/12/17,66500,0.01503759,999.999735
12:42:49 20/12/17,66500,0.292883,19476.7195
12:43:24 20/12/17,66490,0.02074359,1379.2412990999999
12:43:31 20/12/17,66490,0.0182323,1212.265627
12:43:40 20/12/17,66490,0.00554658,368.7921042
12:44:30 20/12/17,66490,0.00554658,368.7921042
12:44:48 20/12/17,66490,0.02074359,1379.2412990999999
12:45:11 20/12/17,66490,0.02074359,1379.2412990999999
12:45:26 20/12/17,66490,0.02053675,1365.4885075
12:45:37 20/12/17,66490,0.02066577,1374.0670473
12:45:43 20/12/17,66490,0.01503985,999.9996265
12:47:36 20/12/17,66490,0.15039856,10000.0002544
12:48:45 20/12/17,66200,0.005,331
12:49:34 20/12/17,66490,0.02074359,1379.2412990999999
12:49:47 20/12/17,66490,0.02074359,1379.2412990999999
12:49:58 20/12/17,66490,0.06015942,3999.9998358
12:50:01 20/12/17,66490,0.02074359,1379.2412990999999
12:50:09 20/12/17,66490,0.02074359,1379.2412990999999
12:50:18 20/12/17,66490,0.00572727,380.8061823
12:50:57 20/12/17,66490,0.04511956,2999.9995444
12:51:26 20/12/17,66490,0.00782223,520.1000726999999
12:51:31 20/12/17,66500,0.01291942,859.1414299999999
12:51:34 20/12/17,66350,0.01343414,891.355189
12:51:38 20/12/17,66500,0.02074047,1379.2412550000001
12:51:46 20/12/17,66500,0.02074047,1379.2412550000001
12:51:53 20/12/17,66500,0.02074047,1379.2412550000001
12:51:59 20/12/17,66500,0.03759398,2499.99967
12:53:13 20/12/17,66500,0.01660744,1104.3947600000001
12:53:20 20/12/17,66500,0.02074047,1379.2412550000001
12:53:27 20/12/17,66500,0.02074047,1379.2412550000001
12:53:35 20/12/17,66500,0.02074047,1379.2412550000001
12:53:41 20/12/17,66500,0.01661686,1105.02119
12:54:54 20/12/17,66500,0.02074047,1379.2412550000001
12:55:01 20/12/17,66500,0.02074047,1379.2412550000001
12:55:10 20/12/17,66500,0.02074047,1379.2412550000001
12:55:37 20/12/17,66500,0.02074047,1379.2412550000001
